Match_Date,Match_Format,Opponent,Winner,Margin,Ground,Year,Gender,Toss_Winner,Toss_Decision,Player_of_Match,Event_Name
11/8/2007,Test,Australia,Opponent,40 runs,"Brisbane Cricket Ground, Woolloongabba",2007,male,Sri Lanka,field,B Lee,Sri Lanka tour of Australia
11/16/2007,Test,Australia,Opponent,96 runs,Bellerive Oval,2007,male,Australia,bat,B Lee,Sri Lanka tour of Australia
12/1/2007,Test,England,Sri Lanka,88 runs,Asgiriya Stadium,2007,male,Sri Lanka,bat,KC Sangakkara,England tour of Sri Lanka
12/9/2007,Test,England,Draw,,Sinhalese Sports Club Ground,2007,male,England,bat,DPMD Jayawardene,England tour of Sri Lanka
12/18/2007,Test,England,Draw,,Galle International Stadium,2007,male,England,field,DPMD Jayawardene,England tour of Sri Lanka
2/5/2008,ODI,India,No Result,,"Brisbane Cricket Ground, Woolloongabba",2008,male,India,bat,,Commonwealth Bank Series
2/8/2008,ODI,Australia,Opponent,128 runs,Sydney Cricket Ground,2008,male,Australia,bat,NW Bracken,Commonwealth Bank Series
2/15/2008,ODI,Australia,Opponent,63 runs,Western Australia Cricket Association Ground,2008,male,Australia,bat,AC Gilchrist,Commonwealth Bank Series
2/19/2008,ODI,India,Opponent,2 wickets,Adelaide Oval,2008,male,Sri Lanka,bat,KC Sangakkara,Commonwealth Bank Series
2/22/2008,ODI,Australia,Opponent,24 runs,Melbourne Cricket Ground,2008,male,Sri Lanka,field,MEK Hussey,Commonwealth Bank Series
2/26/2008,ODI,India,Opponent,7 wickets,Bellerive Oval,2008,male,India,field,P Kumar,Commonwealth Bank Series
2/29/2008,ODI,Australia,Sri Lanka,13 runs,Melbourne Cricket Ground,2008,male,Sri Lanka,bat,AC Gilchrist,Commonwealth Bank Series
3/22/2008,Test,West Indies,Sri Lanka,121 runs,Providence Stadium,2008,male,Sri Lanka,bat,WPUJC Vaas,Sri Lanka in West Indies Test Series
4/3/2008,Test,West Indies,Opponent,6 wickets,"Queen's Park Oval, Port of Spain",2008,male,West Indies,field,RR Sarwan,Sri Lanka in West Indies Test Series
4/10/2008,ODI,West Indies,Opponent,1 wickets,"Queen's Park Oval, Port of Spain",2008,male,West Indies,field,DJ Bravo,Sri Lanka in West Indies ODI Series
4/12/2008,ODI,West Indies,Opponent,7 wickets,"Queen's Park Oval, Port of Spain",2008,male,West Indies,field,S Chanderpaul,Sri Lanka in West Indies ODI Series
