Match_Date,Match_Format,Opponent,Winner,Margin,Ground,Year,Gender,Toss_Winner,Toss_Decision,Player_of_Match,Event_Name,Home_Away
2008-02-19,ODI,India,Opponent,2 wickets,Adelaide Oval,2008,male,Sri Lanka,bat,KC Sangakkara,Commonwealth Bank Series,Away
2008-02-22,ODI,Australia,Opponent,24 runs,Melbourne Cricket Ground,2008,male,Sri Lanka,field,MEK Hussey,Commonwealth Bank Series,Away
2008-02-26,ODI,India,Opponent,7 wickets,Bellerive Oval,2008,male,India,field,P Kumar,Commonwealth Bank Series,Away
2008-02-29,ODI,Australia,Sri Lanka,13 runs,Melbourne Cricket Ground,2008,male,Sri Lanka,bat,AC Gilchrist,Commonwealth Bank Series,Away
2008-03-22,Test,West Indies,Sri Lanka,121 runs,Providence Stadium,2008,male,Sri Lanka,bat,WPUJC Vaas,Sri Lanka in West Indies Test Series,Away
2008-04-03,Test,West Indies,Opponent,6 wickets,"Queen's Park Oval, Port of Spain",2008,male,West Indies,field,RR Sarwan,Sri Lanka in West Indies Test Series,Away
2008-04-10,ODI,West Indies,Opponent,1 wicket,"Queen's Park Oval, Port of Spain",2008,male,West Indies,field,DJ Bravo,Sri Lanka in West Indies ODI Series,Away
2008-04-12,ODI,West Indies,Opponent,7 wickets,"Queen's Park Oval, Port of Spain",2008,male,West Indies,field,S Chanderpaul,Sri Lanka in West Indies ODI Series,Away
2008-04-15,ODI,West Indies,No Result,,"Beausejour Stadium, Gros Islet",2008,male,West Indies,field,nan,Sri Lanka in West Indies ODI Series,Away
2008-05-08,ODI,India,Opponent,8 wickets,Welagedara Stadium,2008,female,Sri Lanka,bat,SL Pujare,Women's Asia Cup,Away
2008-05-11,ODI,India,Opponent,177 runs,Welagedara Stadium,2008,female,India,bat,A Rawat,Women's Asia Cup,Away
2008-06-25,ODI,Bangladesh,Sri Lanka,131 runs,Gaddafi Stadium,2008,male,Bangladesh,field,KC Sangakkara,Asia Cup,Away
2008-06-26,ODI,United Arab Emirates,Sri Lanka,142 runs,Gaddafi Stadium,2008,male,Sri Lanka,bat,BAW Mendis,Asia Cup,Away
2008-06-29,ODI,Pakistan,Sri Lanka,64 runs,National Stadium,2008,male,Pakistan,field,KC Sangakkara,Asia Cup,Away
2008-06-30,ODI,Bangladesh,Sri Lanka,158 runs,National Stadium,2008,male,Sri Lanka,bat,ST Jayasuriya,Asia Cup,Away
2008-07-03,ODI,India,Opponent,6 wickets,National Stadium,2008,male,Sri Lanka,bat,MS Dhoni,Asia Cup,Away
2008-07-06,ODI,India,Sri Lanka,100 runs,National Stadium,2008,male,India,field,BAW Mendis,Asia Cup,Away
2008-07-23,Test,India,Sri Lanka,239 runs,Sinhalese Sports Club Ground,2008,male,Sri Lanka,bat,M Muralitharan,India in Sri Lanka Test Series,Home
2008-07-31,Test,India,Opponent,170 runs,Galle International Stadium,2008,male,India,bat,V Sehwag,India in Sri Lanka Test Series,Home
2008-08-08,Test,India,Sri Lanka,8 wickets,P Saravanamuttu Stadium,2008,male,India,bat,KC Sangakkara,India in Sri Lanka Test Series,Away
2008-08-18,ODI,India,Sri Lanka,8 wickets,Rangiri Dambulla International Stadium,2008,male,India,bat,BAW Mendis,India in Sri Lanka ODI Series,Home
2008-08-20,ODI,India,Opponent,3 wickets,Rangiri Dambulla International Stadium,2008,male,India,field,Z Khan,India in Sri Lanka ODI Series,Home
2008-08-24,ODI,India,Opponent,33 runs,R Premadasa Stadium,2008,male,India,bat,MS Dhoni,India in Sri Lanka ODI Series,Home
2008-08-27,ODI,India,Opponent,46 runs,R Premadasa Stadium,2008,male,India,bat,SK Raina,India in Sri Lanka ODI Series,Home
2008-08-29,ODI,India,Sri Lanka,112 runs,R Premadasa Stadium,2008,male,Sri Lanka,bat,KMDN Kulasekara,India in Sri Lanka ODI Series,Home
2008-10-11,T20,Pakistan,Opponent,3 wickets,Maple Leaf North-West Ground,2008,male,Pakistan,field,Shoaib Malik,T20 Canada,Away
2008-10-13,T20,Pakistan,Sri Lanka,5 wickets,Maple Leaf North-West Ground,2008,male,Sri Lanka,field,ST Jayasuriya,T20 Canada,Away
2008-11-20,ODI,Zimbabwe,Sri Lanka,6 wickets,Harare Sports Club,2008,male,Sri Lanka,field,M Muralitharan,Sri Lanka in Zimbabwe ODI Series,Away
2008-11-22,ODI,Zimbabwe,Sri Lanka,9 wickets,Harare Sports Club,2008,male,Zimbabwe,bat,BAW Mendis,Sri Lanka in Zimbabwe ODI Series,Away
2008-11-24,ODI,Zimbabwe,Sri Lanka,5 runs,Harare Sports Club,2008,male,Zimbabwe,field,H Masakadza,Sri Lanka in Zimbabwe ODI Series,Away
2008-11-30,ODI,Zimbabwe,Sri Lanka,19 runs,Harare Sports Club,2008,male,Zimbabwe,field,M Muralitharan,Sri Lanka in Zimbabwe ODI Series,Away
2009-01-03,Test,Bangladesh,Sri Lanka,465 runs,Chittagong Divisional Stadium,2009,male,Sri Lanka,bat,TM Dilshan,Sri Lanka in Bangladesh Test Series,Away
2009-01-14,ODI,Bangladesh,Opponent,5 wickets,Shere Bangla National Stadium,2009,male,Bangladesh,field,Shakib Al Hasan,Tri-Nation Tournament in Bangladesh,Away
2009-01-20,ODI,Pakistan,Opponent,8 wickets,National Stadium,2009,male,Sri Lanka,bat,Salman Butt,Sri Lanka in Pakistan ODI Series,Away
2009-01-21,ODI,Pakistan,Sri Lanka,129 runs,National Stadium,2009,male,Pakistan,field,TM Dilshan,Sri Lanka in Pakistan ODI Series,Away
2009-01-24,ODI,Pakistan,Sri Lanka,234 runs,Gaddafi Stadium,2009,male,Sri Lanka,bat,TM Dilshan,Sri Lanka in Pakistan ODI Series,Away
2009-01-28,ODI,India,Opponent,6 wickets,Rangiri Dambulla International Stadium,2009,male,India,field,ST Jayasuriya,India in Sri Lanka ODI Series,Home
2009-01-31,ODI,India,Opponent,15 runs,R Premadasa Stadium,2009,male,India,bat,I Sharma,India in Sri Lanka ODI Series,Home
2009-02-03,ODI,India,Opponent,147 runs,R Premadasa Stadium,2009,male,India,bat,Yuvraj Singh,India in Sri Lanka ODI Series,Home
